,predictions,file_names
130,FEARFUL,03-01-06-01-01-02-16.wav
131,NEUTRAL,03-01-01-01-02-01-03.wav
132,FEARFUL,03-01-06-02-01-02-05.wav
133,DISGUST,03-01-07-02-02-01-24.wav
134,DISGUST,03-01-07-02-01-02-18.wav
135,NEUTRAL,03-01-01-01-01-01-18.wav
136,FEARFUL,03-01-07-02-01-02-19.wav
137,FEARFUL,03-01-06-01-02-02-17.wav
138,HAPPY,03-01-03-01-02-01-02.wav
139,HAPPY,03-01-03-02-01-01-20.wav
140,NEUTRAL,03-01-01-01-02-01-04.wav
141,HAPPY,03-01-03-01-01-01-03.wav
142,HAPPY,03-01-03-01-01-01-14.wav
143,DISGUST,03-01-03-01-02-02-03.wav
144,HAPPY,03-01-03-02-01-01-03.wav
145,DISGUST,03-01-07-02-02-01-14.wav
146,DISGUST,03-01-07-01-02-01-20.wav
147,HAPPY,03-01-03-02-02-01-12.wav
148,DISGUST,03-01-07-01-02-02-11.wav
149,NEUTRAL,03-01-01-01-01-02-15.wav
150,HAPPY,03-01-03-02-01-02-06.wav
151,FEARFUL,03-01-06-01-02-02-10.wav
152,DISGUST,03-01-07-01-01-02-15.wav
153,HAPPY,03-01-03-01-01-02-04.wav
154,DISGUST,03-01-07-01-02-02-07.wav
155,FEARFUL,03-01-06-01-02-02-19.wav
156,HAPPY,03-01-07-01-02-02-21.wav
157,NEUTRAL,03-01-07-01-02-02-09.wav
158,DISGUST,03-01-07-01-02-01-12.wav
159,DISGUST,03-01-07-01-01-01-20.wav
160,DISGUST,03-01-07-01-01-02-12.wav
161,DISGUST,03-01-07-01-02-02-08.wav
162,FEARFUL,03-01-06-01-02-01-02.wav
163,HAPPY,03-01-03-02-02-02-13.wav
164,FEARFUL,03-01-06-02-02-02-09.wav
165,DISGUST,03-01-07-01-01-01-19.wav
166,DISGUST,03-01-01-01-01-01-07.wav
167,DISGUST,03-01-01-01-01-01-14.wav
